skills_count,years_experience,education_level,certifications_count,project_relevance,resume_completeness,label
7,2.4,1,5,1,78,0
24,13.8,1,3,7,45,2
16,11.9,0,3,4,39,1
11,3.6,0,8,2,45,0
9,13.9,1,10,7,23,1
0,11.5,2,7,7,53,1
15,2.3,0,6,7,19,1
18,12.6,0,2,2,82,1
7,2.4,2,9,9,89,1
7,15.5,2,7,7,48,2
9,11.4,0,9,1,36,0
20,4.2,0,2,3,32,1
13,9.0,3,7,4,14,1
7,5.8,2,7,1,97,1
25,12.5,1,6,1,79,2
7,13.0,2,2,1,17,1
23,16.5,2,7,1,69,2
22,6.1,2,4,8,79,2
1,17.8,2,9,4,13,1
2,4.6,3,9,0,96,1
24,15.1,2,8,10,66,2
8,3.6,3,6,10,72,2
13,6.7,0,2,5,62,1
22,9.9,2,8,0,68,2
3,19.4,2,8,0,94,1
17,9.2,0,3,8,56,1
14,15.2,1,4,8,26,1
9,8.8,2,1,0,90,1
5,6.2,0,8,6,21,0
7,19.8,0,7,1,92,1
22,5.8,2,6,7,70,2
7,9.1,1,6,3,86,1
2,5.5,2,5,8,44,1
0,5.7,2,9,9,94,1
17,9.7,2,8,8,58,2
14,18.7,1,3,9,59,2
1,6.4,2,6,6,94,1
25,16.4,1,7,0,26,1
3,17.5,2,1,8,68,1
0,14.4,2,10,2,19,0
10,12.5,2,10,1,52,1
21,17.2,2,5,10,72,2
2,4.7,2,3,1,65,0
3,15.2,0,7,2,98,1
10,15.9,2,5,5,65,2
4,4.9,2,9,10,33,1
12,12.4,1,7,9,28,1
7,9.2,2,7,4,95,2
9,13.6,1,1,7,54,1
18,6.0,2,4,7,48,2
15,2.1,2,9,5,83,1
9,19.9,2,0,10,60,1
21,15.6,0,9,7,46,2
24,16.0,3,5,3,91,2
24,14.4,1,10,1,90,2
20,0.8,2,0,9,56,1
9,6.5,2,2,3,26,1
25,10.8,2,8,8,44,2
15,19.3,2,5,1,69,1
2,2.8,1,10,10,60,1
11,1.8,2,0,4,78,0
3,9.1,2,9,6,91,1
7,9.4,3,8,5,88,2
7,13.0,2,4,10,62,2
1,6.1,2,1,1,40,0
17,2.7,2,5,10,99,2
23,14.5,2,10,1,72,2
19,8.2,2,0,5,37,1
11,2.0,2,8,10,55,1
1,8.0,1,1,7,21,0
19,19.4,0,5,3,26,1
25,11.3,0,8,3,85,2
10,15.5,3,0,4,28,1
4,10.8,1,1,10,13,1
25,4.8,2,0,2,43,1
1,2.5,2,8,1,18,0
16,11.9,2,8,3,88,2
1,14.5,3,4,7,92,1
15,16.9,2,10,1,72,2
22,18.2,0,1,5,87,1
19,12.7,3,5,6,86,2
16,5.9,3,9,6,22,1
20,13.0,3,3,6,67,2
7,8.3,2,6,6,22,1
8,7.5,1,10,7,18,1
2,16.6,0,6,1,57,0
18,19.1,3,5,10,25,2
13,7.1,2,0,4,86,1
16,4.3,2,3,1,54,1
17,7.4,2,9,3,64,2
19,12.3,3,0,9,94,2
22,5.3,1,4,4,53,1
4,11.3,2,1,2,91,1
0,1.8,3,3,6,63,0
9,14.4,3,9,1,16,1
4,3.1,3,0,10,20,0
15,12.1,2,4,3,75,2
3,6.9,0,4,10,96,1
9,0.9,2,9,0,10,0
6,6.0,1,2,4,47,0
23,8.6,1,6,8,100,2
7,10.0,2,1,6,15,1
2,17.2,3,6,9,61,2
22,12.8,2,1,6,12,1
19,9.2,2,1,6,23,1
7,8.7,2,8,1,60,1
7,6.7,1,1,8,91,1
3,10.6,1,5,5,92,1
4,5.1,1,9,2,93,1
2,3.5,2,7,9,84,1
18,12.9,3,5,10,50,2
4,8.8,2,7,10,48,1
11,10.1,2,7,7,14,1
1,7.4,2,1,10,21,0
14,11.6,0,7,9,93,2
6,6.4,2,8,2,17,0
10,19.6,0,8,10,32,1
1,5.0,2,7,8,76,1
9,7.7,2,10,9,16,1
25,12.6,2,1,5,22,1
8,14.5,3,2,5,20,1
18,13.3,2,4,10,99,2
22,18.8,2,8,6,92,2
25,6.6,1,10,10,77,2
16,7.2,2,4,2,37,1
10,19.0,2,3,3,27,1
25,2.0,3,8,0,94,2
10,17.5,3,2,9,58,2
22,15.4,1,7,0,62,2
11,13.5,1,7,9,46,1
7,10.7,2,7,3,57,1
21,18.9,2,7,4,58,2
5,16.3,3,2,4,16,1
20,9.6,2,8,1,76,2
24,3.2,2,8,2,65,1
2,18.9,1,7,5,13,0
11,4.7,0,5,3,13,0
10,18.6,2,2,2,14,1
22,16.6,2,7,9,10,2
2,0.4,1,2,8,87,0
9,4.8,0,0,3,63,0
20,15.9,2,1,1,73,1
16,11.5,1,4,6,10,1
19,7.1,3,6,2,95,2
11,1.4,3,8,8,74,1
17,0.4,2,0,10,59,1
0,7.1,0,5,3,94,0
20,2.1,3,5,2,15,1
20,3.5,2,7,10,33,2
25,2.7,2,0,4,35,1
1,6.3,2,8,6,79,1
15,5.1,1,4,5,16,1
3,16.0,2,6,7,59,1
10,19.5,2,7,5,76,2
13,1.6,3,2,8,47,1
10,2.1,2,10,4,49,1
5,13.8,2,7,0,55,1
19,20.0,2,10,0,19,1
16,16.0,1,0,2,87,1
21,15.6,0,2,1,40,1
12,19.0,0,9,2,96,1
14,19.0,2,7,1,83,2
10,13.0,1,1,0,33,1
15,10.4,3,1,4,43,1
19,5.7,2,3,1,27,1
2,9.0,2,1,10,50,1
17,10.8,2,2,10,32,2
25,7.2,1,1,3,27,1
11,11.1,2,7,8,26,2
19,17.7,0,4,6,71,1
18,1.5,2,10,1,67,1
14,13.6,2,2,8,91,2
4,8.7,0,1,8,29,0
9,3.3,2,3,5,76,1
8,3.9,3,4,2,90,1
9,12.3,0,8,10,31,1
5,13.2,3,5,9,15,1
0,1.6,3,4,10,36,1
20,0.6,3,4,10,48,1
15,4.9,2,4,7,19,1
13,9.7,1,5,9,28,1
10,17.2,2,5,6,26,1
3,6.4,2,1,4,67,0
7,2.8,0,4,6,88,0
5,16.3,3,5,3,30,1
15,19.9,2,7,4,73,2
16,9.1,1,3,9,55,2
1,1.0,2,9,10,96,1
3,8.6,2,5,6,56,1
1,8.0,3,8,3,56,1
16,9.0,3,4,9,97,2
19,2.4,0,6,5,53,1
4,4.0,3,6,8,15,1
1,0.8,2,7,8,68,1
4,6.6,3,5,2,60,1
19,14.8,2,9,5,74,2
22,11.3,2,0,5,52,1
21,2.2,2,9,4,98,1
8,19.3,3,9,3,16,1
18,9.6,3,10,9,58,2
1,11.5,0,3,0,66,0
10,8.4,2,3,6,74,1
23,14.5,1,8,3,81,1
10,20.0,2,8,6,50,2
17,6.8,2,10,10,92,2
25,13.9,3,7,3,41,2
9,15.4,1,7,5,71,1
11,11.2,2,4,1,83,1
12,16.4,1,4,0,46,1
22,1.6,2,10,4,71,1
8,18.7,2,2,1,88,1
23,11.7,1,0,10,77,2
3,8.3,2,1,10,27,1
0,19.3,1,6,10,70,1
9,6.4,0,1,10,83,1
7,10.7,0,2,6,32,1
12,15.8,1,4,0,11,1
9,11.4,0,5,4,68,1
15,17.8,1,8,7,44,2
6,16.2,2,2,7,92,1
23,6.7,2,9,10,34,2
5,12.2,2,6,8,51,1
5,19.6,2,5,3,10,1
8,7.7,2,4,5,48,1
8,13.1,1,0,10,25,1
14,6.1,2,10,8,100,2
20,18.3,2,5,9,38,2
7,19.1,2,2,7,87,1
15,15.1,1,3,10,86,2
25,1.6,2,8,5,19,1
17,18.1,1,9,8,29,2
5,6.6,3,7,1,97,1
2,18.0,2,0,7,26,1
16,8.3,3,0,8,69,2
0,7.9,0,3,9,19,0
1,8.5,0,8,0,18,0
9,8.2,1,10,10,63,1
11,19.9,2,7,6,58,2
17,2.7,2,1,2,78,1
12,10.6,1,0,0,48,0
13,10.6,1,3,7,54,1
4,5.5,0,0,10,63,0
0,4.8,0,1,9,14,0
14,12.0,0,3,0,61,1
24,17.3,0,2,8,47,1
7,16.3,3,5,9,86,2
7,6.0,1,10,8,38,1
13,6.0,0,8,9,32,1
15,0.9,2,10,10,58,1
25,10.5,2,6,2,48,2
15,4.8,1,4,2,69,1
1,11.2,2,8,8,27,1
10,12.9,2,5,1,78,1
23,16.6,0,4,6,96,2
2,3.8,3,10,8,37,1
15,4.2,2,4,0,37,1
3,14.9,2,3,9,100,1
6,7.9,1,8,5,46,1
11,6.2,2,8,7,69,1
3,16.1,2,5,3,57,1
7,14.8,0,4,8,84,1
18,14.4,2,2,3,52,1
7,10.0,2,4,7,92,2
23,9.8,1,5,2,27,1
17,19.8,0,8,0,19,1
21,1.0,0,6,2,90,1
0,4.4,2,5,0,89,1
20,13.3,3,7,10,72,2
13,0.2,3,4,8,46,1
0,10.0,2,2,1,22,0
19,10.5,2,4,6,20,2
11,19.2,2,9,3,99,2
2,13.1,0,1,6,58,1
12,11.1,0,10,0,99,1
13,12.9,2,9,1,77,2
1,4.6,3,7,4,15,1
8,18.0,3,10,0,32,1
10,0.3,1,9,2,60,0
18,4.8,2,10,8,52,2
12,15.1,1,1,8,54,1
2,6.8,3,9,6,51,1
0,12.7,2,7,3,55,1
5,13.6,2,1,9,47,1
25,4.9,0,1,4,29,0
4,14.8,2,5,1,21,1
0,18.9,2,5,4,23,1
14,11.1,3,6,1,13,1
2,7.1,0,9,9,51,1
13,7.8,0,8,3,83,1
16,3.4,2,2,2,44,1
2,3.3,2,6,4,71,1
25,1.5,2,3,10,73,1
3,2.7,0,6,5,89,0
12,16.1,2,7,5,65,2
19,2.7,2,9,3,71,1
10,3.6,2,5,4,98,1
25,4.8,2,4,6,56,1
3,18.6,1,9,8,33,1
23,9.2,1,7,4,98,2
2,16.4,2,10,7,27,1
21,3.1,2,6,1,67,1
19,9.6,2,8,8,98,2
11,14.0,3,9,10,20,2
3,15.4,2,2,10,88,2
21,12.9,2,6,1,11,2
3,5.2,3,8,8,84,1
11,7.8,3,8,2,54,1
0,9.7,2,6,1,24,1
11,6.2,2,3,8,71,1
11,9.5,2,7,5,18,1
3,0.5,2,10,1,96,1
25,3.3,1,8,2,80,1
14,4.6,2,10,2,33,1
20,13.1,2,0,9,35,2
0,14.1,1,4,1,83,1
3,16.0,3,2,5,51,1
21,17.3,3,10,5,86,2
12,12.2,3,1,5,55,2
21,14.1,2,9,9,20,2
21,2.7,0,3,4,24,1
16,7.8,3,2,9,59,2
13,3.7,3,10,2,81,1
5,6.3,2,9,0,55,1
0,9.7,1,6,8,74,1
15,8.3,2,7,2,20,1
18,0.6,1,4,0,45,0
24,9.1,2,8,8,24,2
18,2.3,3,5,8,15,1
6,19.8,0,10,3,48,1
1,9.0,2,1,7,25,1
25,14.8,2,9,10,64,2
5,12.3,1,3,0,82,1
17,3.4,2,4,9,44,1
16,19.7,0,2,6,17,1
4,14.0,1,3,2,51,1
7,15.2,2,7,2,83,1
12,9.0,0,6,8,45,1
22,18.7,2,7,7,51,2
23,1.9,2,10,10,99,2
11,17.0,3,6,3,64,2
10,16.6,2,8,9,26,1
18,17.0,2,10,0,15,1
14,0.3,1,7,7,10,1
13,4.0,1,10,4,30,1
2,13.1,2,1,5,95,1
20,3.3,2,10,4,99,2
2,14.1,0,3,7,19,0
4,11.9,3,10,7,11,1
3,19.8,2,2,7,19,1
7,7.7,0,1,5,57,0
24,16.3,1,10,10,28,2
2,10.6,0,9,10,31,1
20,15.0,2,9,10,66,2
6,1.7,0,2,1,85,0
13,6.3,1,3,4,92,1
2,5.0,3,9,9,46,1
21,17.5,1,8,9,75,2
6,15.0,2,10,0,40,1
15,12.8,0,8,0,56,1
10,2.6,3,6,5,79,1
24,1.5,3,1,0,43,1
6,0.8,0,6,8,46,0
13,8.5,2,1,10,78,1
17,12.3,2,1,4,20,1
25,3.1,2,6,9,91,2
24,16.7,0,4,6,40,1
13,2.3,3,9,0,49,1
21,14.8,1,1,0,100,1
15,19.1,3,8,4,31,2
11,2.5,2,1,0,52,0
2,5.3,3,10,1,73,1
14,10.2,0,7,9,31,1
3,17.9,0,3,8,10,0
1,17.2,0,3,0,70,0
5,18.6,0,8,10,63,1
7,6.4,2,5,4,19,1
21,18.0,1,3,8,15,1
12,1.4,2,4,4,51,1
11,4.0,3,4,9,41,1
14,7.4,2,3,8,41,2
0,4.7,2,10,0,52,0
0,15.2,2,4,1,36,0
15,19.2,1,4,1,15,1
7,17.9,3,6,5,68,2
3,10.1,2,1,9,82,1
1,8.7,1,3,4,43,1
12,14.0,2,5,7,44,1
7,1.5,1,2,9,23,0
14,6.3,0,8,5,36,1
14,6.2,2,1,1,30,1
22,13.9,0,3,5,28,1
2,14.2,2,6,8,16,1
5,0.6,2,7,8,80,1
7,1.9,0,2,1,11,0
7,2.6,2,5,10,90,1
20,1.7,3,4,1,12,1
20,8.9,1,1,5,25,1
1,18.8,0,2,9,65,1
0,7.7,2,2,5,37,0
5,5.5,2,2,0,88,0
9,10.0,3,7,0,21,1
8,7.7,2,3,10,77,1
17,15.9,2,5,7,79,2
25,9.7,3,8,5,59,2
19,4.4,2,0,7,77,1
11,15.3,1,2,1,41,1
25,18.3,0,3,9,59,2
11,18.7,1,2,3,85,1
11,18.3,0,5,9,82,2
4,11.3,1,7,8,49,1
1,4.7,1,0,8,71,0
0,6.6,3,3,2,53,0
10,1.2,1,9,2,24,0
16,17.2,0,5,10,60,2
10,2.7,1,6,10,72,1
20,6.3,3,9,5,38,2
12,6.1,2,2,2,10,0
22,19.0,2,9,0,33,1
19,4.4,3,1,7,28,1
10,14.9,1,5,5,31,1
22,13.4,2,7,0,43,1
6,5.0,0,5,4,23,0
14,14.7,1,6,7,58,2
11,10.9,0,7,9,93,2
14,1.5,0,4,0,50,0
8,19.0,0,5,2,58,1
2,6.8,3,7,0,65,1
20,3.3,2,2,0,22,0
13,13.9,3,4,10,46,2
9,4.8,0,6,9,80,1
11,0.1,0,4,10,90,1
19,9.6,0,0,3,31,1
15,16.9,2,6,7,72,2
21,5.3,3,6,2,57,2
14,0.9,2,7,4,38,1
8,11.3,1,10,1,20,1
13,19.4,3,3,8,17,1
12,16.4,2,8,10,70,2
9,1.6,0,8,9,76,1
25,11.4,3,2,1,67,2
6,16.2,1,0,6,20,1
21,8.7,1,9,4,50,2
2,1.7,3,6,8,51,1
8,10.4,0,9,9,76,1
4,3.0,3,9,1,23,0
18,15.6,2,8,5,62,2
18,12.2,0,2,4,61,1
4,12.4,2,0,6,52,1
15,18.4,2,0,5,48,1
9,5.6,2,10,1,39,1
14,15.5,2,4,6,87,2
20,1.8,2,3,6,72,1
1,10.3,1,1,4,100,0
16,8.1,3,9,0,32,1
1,5.0,2,0,5,100,1
6,5.5,2,8,6,91,1
7,7.4,3,7,2,70,1
18,11.0,2,2,4,98,2
1,3.3,3,3,3,92,1
7,13.6,2,10,6,75,2
24,13.6,2,2,10,32,2
19,16.0,1,4,9,49,2
8,8.5,2,5,7,42,1
6,9.3,3,9,6,84,2
21,19.3,2,8,10,86,2
19,5.7,0,7,1,53,1
8,5.2,2,3,2,76,1
24,4.8,0,9,6,94,1
0,13.1,2,4,6,61,1
12,14.7,3,9,3,53,2
17,12.8,2,10,5,74,2
9,16.9,3,2,4,22,1
23,16.2,1,10,5,93,2
2,4.4,1,4,6,52,0
14,17.0,2,0,10,84,2
18,18.9,0,7,3,74,2
16,6.0,0,2,2,35,1
10,8.2,3,7,2,50,1
2,9.8,1,5,10,17,1
0,9.0,1,2,9,30,0
2,2.6,2,10,6,61,1
13,19.3,2,0,0,78,1
0,17.8,3,3,0,96,1
0,12.5,1,3,5,49,1
18,6.1,0,0,4,47,1
14,14.6,3,8,5,65,2
10,19.9,2,5,3,31,1
25,8.1,1,3,2,37,1
5,2.5,0,6,10,42,0
24,10.7,0,9,0,94,2
1,13.8,2,7,6,25,1
17,5.1,1,3,10,90,2
3,13.2,2,9,9,99,2
4,8.4,0,8,9,25,1
15,4.0,1,4,8,35,1
11,14.1,2,2,0,80,1
15,6.6,0,0,10,21,1
3,16.7,2,2,1,75,1
8,12.9,2,4,4,69,1
1,2.0,1,0,4,56,0
23,2.3,0,0,2,94,0
20,3.4,2,7,9,44,2
10,3.7,2,6,7,44,1
12,13.8,2,6,10,31,2
1,19.6,1,1,6,85,1
15,16.0,2,2,9,58,2
21,17.6,1,7,7,24,2
13,8.8,0,4,10,50,2
16,15.4,3,9,3,95,2
10,10.4,3,1,6,94,2
21,13.5,2,2,8,88,2
1,0.2,1,8,7,73,0
15,6.4,2,4,0,74,1
7,11.0,2,6,3,20,1
14,1.8,2,7,5,25,1
15,14.9,0,1,6,62,1
2,15.8,3,10,4,75,1
17,4.1,2,5,5,16,1
10,11.2,3,9,7,94,2
11,14.3,0,1,10,38,1
20,19.3,2,8,8,57,2
22,2.1,1,7,2,62,1
6,2.4,2,3,7,34,1
22,6.8,2,0,10,96,2
14,9.1,3,8,2,73,2
0,10.6,0,8,6,84,1
5,13.8,1,2,1,59,1
21,12.0,2,8,6,63,2
24,5.0,2,5,4,67,2
25,2.7,2,9,8,48,2
10,14.2,3,10,3,35,1
6,12.5,2,10,5,96,2
5,10.1,2,1,5,81,1
15,11.7,2,10,8,46,2
0,10.5,0,6,2,16,0
21,1.1,2,2,4,97,1
22,15.7,1,8,0,55,2
14,2.0,3,3,10,81,1
25,16.0,2,10,0,58,2
12,8.3,2,8,0,11,1
24,17.2,2,3,10,100,2
22,13.0,3,8,9,35,2
9,9.0,0,2,2,75,0
3,7.5,2,4,8,43,1
8,0.1,2,2,0,29,0
10,11.9,3,10,4,72,2
2,15.7,2,8,3,33,1
16,1.4,3,2,6,79,1
7,17.7,2,5,5,47,1
6,19.0,3,8,7,81,2
0,2.3,2,7,3,92,0
19,18.4,1,0,10,51,1
3,7.7,3,4,0,76,1
24,7.5,3,7,7,15,2
10,10.3,0,2,8,78,1
0,12.5,1,10,10,37,1
3,4.1,2,10,1,97,1
4,0.5,2,0,1,19,0
17,1.4,1,4,6,59,1
14,12.6,2,5,0,59,1
20,14.4,0,9,0,99,1
2,7.2,3,1,4,97,1
24,18.5,2,6,10,13,2
15,3.1,1,2,6,79,1
9,13.5,2,0,8,81,1
4,2.5,0,9,9,60,0
9,4.2,2,3,6,92,1
16,2.8,1,3,9,42,1
25,11.3,0,8,7,92,2
17,1.5,0,4,1,35,0
10,7.1,1,1,4,89,1
2,18.0,2,7,7,52,1
18,3.0,3,5,5,64,1
5,0.1,1,3,10,65,0
21,14.7,2,7,7,55,2
24,6.1,3,1,2,92,1
4,17.8,1,4,10,19,1
23,1.5,0,8,10,13,1
24,11.8,0,8,4,79,1
17,9.4,1,5,6,38,2
9,2.7,3,8,1,60,1
11,10.0,1,9,10,31,1
5,3.6,3,10,2,71,1
11,0.8,2,3,1,43,0
6,10.4,2,6,7,68,1
1,0.8,2,1,8,91,0
8,11.6,3,2,6,93,1
12,7.3,0,8,4,58,1
12,7.1,2,7,7,87,2
0,10.0,1,7,2,39,1
6,3.0,1,5,9,25,1
21,4.6,2,1,7,96,1
5,12.9,2,0,3,15,0
4,11.5,1,2,10,75,1
1,3.3,1,8,6,86,1
18,12.8,2,1,3,67,1
15,3.4,2,9,2,84,1
24,3.6,3,4,2,97,2
18,1.4,2,6,2,23,1
0,4.0,3,10,6,29,0
19,12.0,3,8,1,21,2
15,13.2,3,8,0,96,2
11,17.5,3,6,3,71,2
25,15.4,2,9,9,22,2
24,4.7,0,4,9,79,1
13,5.2,0,0,9,76,1
20,4.1,2,6,5,23,1
4,8.5,3,4,4,78,1
8,19.8,2,3,6,80,1
25,11.2,1,5,8,81,2
18,6.9,2,2,10,25,1
23,4.6,1,1,3,75,1
17,12.3,0,2,6,91,1
0,16.1,1,7,9,65,1
11,1.6,0,6,6,88,1
20,10.4,3,0,2,91,2
21,18.6,3,4,3,14,2
25,12.0,3,3,9,31,2
20,0.0,1,1,4,61,0
11,13.4,2,9,3,76,2
2,11.0,3,9,5,54,1
8,4.5,1,7,6,83,1
16,2.1,0,8,4,53,1
3,16.1,2,8,9,42,1
18,9.7,1,5,7,97,2
14,17.9,0,7,1,43,1
7,13.5,1,5,6,55,1
16,10.7,2,3,4,21,1
10,1.5,1,7,5,55,1
6,17.9,2,2,10,34,1
23,4.8,2,3,3,35,1
7,16.7,2,2,1,25,1
21,9.9,0,8,0,71,1
11,12.4,2,9,4,72,2
16,5.6,1,9,2,16,1
16,16.0,2,8,0,74,1
24,3.5,0,8,7,50,1
22,0.2,1,6,9,22,1
8,3.7,2,3,4,70,1
19,6.9,1,7,6,36,1
11,17.1,2,7,2,83,2
4,19.6,1,1,4,40,0
6,2.9,1,7,0,32,0
13,10.0,3,8,5,72,2
18,1.0,0,2,0,37,0
8,9.5,0,7,5,43,1
25,5.2,0,6,1,54,1
21,19.3,1,9,9,93,2
24,5.7,2,10,8,72,2
24,14.7,0,6,9,46,1
5,12.8,2,6,10,88,2
18,8.1,0,1,2,53,1
9,14.2,3,10,6,44,2
14,15.6,2,9,8,67,2
0,2.5,1,10,4,99,0
23,1.6,1,6,1,22,1
17,1.1,2,8,1,23,1
8,12.4,0,10,6,49,1
14,12.5,1,8,2,13,1
1,13.3,2,7,7,79,1
4,19.4,3,2,9,86,1
14,12.6,3,6,8,91,2
11,9.6,1,1,7,49,1
11,8.2,1,4,0,10,0
4,6.9,2,8,0,98,1
15,18.9,2,4,0,65,1
25,0.1,2,3,6,81,1
13,7.9,1,10,6,58,1
20,4.8,3,10,4,46,2
20,14.9,2,6,3,18,2
20,9.1,2,4,9,72,2
6,6.4,1,0,8,12,0
8,2.5,2,0,3,21,0
4,0.3,1,5,6,49,0
11,9.3,0,5,1,28,0
1,5.3,2,1,8,70,1
8,16.3,0,1,3,59,1
24,19.5,1,0,3,68,1
21,19.6,2,6,10,49,2
10,3.2,0,8,8,25,0
6,7.2,0,10,3,24,0
7,12.7,2,0,2,45,1
7,0.2,0,9,7,98,0
19,3.1,0,3,2,73,1
24,12.5,0,5,10,29,2
22,10.7,0,2,7,39,1
20,15.1,2,3,0,98,2
12,7.2,1,4,0,72,1
17,13.9,1,9,2,79,1
11,6.5,2,4,9,80,2
14,5.9,2,8,5,68,2
0,15.5,3,6,2,12,1
19,4.8,0,10,8,59,1
6,10.5,2,8,2,88,1
10,2.2,3,10,1,15,1
4,3.6,0,3,1,72,0
20,16.7,2,8,9,99,2
18,5.1,2,3,9,19,2
20,9.8,0,7,10,17,2
11,11.2,2,5,0,88,1
2,16.7,0,3,8,22,0
3,14.5,3,6,3,34,1
20,19.0,3,8,6,23,2
24,12.8,2,10,7,99,2
5,15.8,3,6,8,53,1
21,3.2,3,7,5,50,1
11,8.2,2,5,9,40,1
18,10.9,2,8,4,56,2
12,0.0,0,4,9,12,0
16,2.7,2,0,4,38,1
24,16.4,2,8,8,81,2
18,18.5,1,1,0,68,1
11,17.8,1,3,4,48,1
2,11.4,3,3,1,51,1
22,14.1,0,9,10,48,2
1,14.6,3,6,1,17,1
13,8.3,0,3,10,87,1
0,12.7,2,0,4,77,1
4,6.5,1,2,0,96,0
23,19.9,2,9,9,74,2
25,7.9,1,5,1,70,1
18,14.9,3,6,4,20,2
22,2.6,1,7,8,35,1
15,7.9,3,3,8,88,2
7,1.4,2,5,10,83,1
2,2.3,2,6,5,54,0
20,0.5,2,2,5,88,1
25,8.8,1,7,0,39,1
24,14.6,0,1,0,41,1
19,18.5,2,0,5,98,2
15,0.5,1,8,3,36,0
17,10.5,2,8,7,89,2
22,13.4,2,9,10,77,2
1,5.1,0,4,3,99,0
20,18.9,0,6,10,44,2
21,17.0,2,1,0,47,1
7,19.6,3,1,5,72,1
19,10.6,1,3,8,68,2
1,4.9,3,4,5,72,1
12,14.9,0,5,10,55,1
16,5.5,0,10,4,59,1
0,18.9,2,3,2,53,1
2,14.6,3,10,9,90,2
21,4.5,1,9,2,64,1
10,9.0,1,3,10,27,1
18,10.8,1,2,4,98,2
4,8.6,1,10,9,30,1
10,1.4,3,1,2,50,0
0,15.3,2,6,4,66,1
23,18.7,2,2,3,23,1
19,12.3,3,9,9,39,2
19,4.6,0,5,1,98,1
19,9.4,2,2,6,72,2
15,2.8,1,3,0,62,0
8,19.0,1,10,3,36,1
2,3.5,2,9,7,98,1
7,8.6,0,9,6,50,1
